bus,name,kV,area_id,area,gen_units,gen_capacity_MW,Pgen_base_MW
3000,FORSMARK,420,23,SE3,3,3501,1113.699
3020,DANNEBO_HVDC,420,23,SE3,0,0,0.0
3100,HJALTA,420,22,SE2,0,0,0.0
3115,PORJUS,420,21,SE1,5,5000,1582.0
3200,TENHULT,420,23,SE3,0,0,0.0
3244,HOGASEN,300,22,SE2,0,0,0.0
3245,JARPSTROMMEN,420,22,SE2,1,850,200.27
3249,GRUNDFORS,420,22,SE2,8,9840,3518.728
3300,OSKARSHAMN,420,23,SE3,6,6000,4224.612
3359,RINGHALS,420,23,SE3,6,7302,4193.6939999999995
3360,STENKU_HVDC,135,23,SE3,0,0,0.0
3701,AJAURE,300,22,SE2,0,0,0.0
5100,TRETTEN,300,11,NO1,2,2200,703.51
5101,HASLE,420,11,NO1,0,0,0.0
5102,DAGALI,420,15,NO5,0,0,0.0
5103,KONGSBERG,420,11,NO1,0,0,0.0
5300,SIMA,300,15,NO5,6,6450,4339.998
5301,AURLAND,420,15,NO5,0,0,0.0
5304,GEILO,420,15,NO5,0,0,0.0
5305,EIDFJORD,420,15,NO5,0,0,0.0
5400,OSLO1,300,11,NO1,2,2200,666.484
5401,SYLLING,420,11,NO1,0,0,0.0
5402,KAGGEFOSS,420,11,NO1,0,0,0.0
5500,OSLO2,300,11,NO1,2,2560,519.006
5501,SKIEN,420,11,NO1,0,0,0.0
5600,KRISTIANSAND,300,12,NO2,4,4200,945.52
5601,STAVANGER,300,12,NO2,0,0,0.0
5602,SANDEFJORD,420,12,NO2,0,0,0.0
5603,ARENDAL,300,12,NO2,0,0,0.0
5610,KRISTIA_HVDC,300,12,NO2,0,0,0.0
5620,FEDA_HVDC,300,12,NO2,0,0,0.0
6000,KVILLDAL,300,12,NO2,4,2480,1719.376
6001,HAGAFOSS,420,15,NO5,0,0,0.0
6100,BLAFALLI,300,12,NO2,5,5600,3144.105
6500,TRONDHEIM,300,13,NO3,4,4000,805.0
6700,ROSSAGA,300,14,NO4,4,4200,2081.0
6701,OFOTEN,420,14,NO4,0,0,0.0
7000,HELSINKI,420,31,FI1,9,10503,6366.861
7010,VYBORG_HVDC,420,31,FI1,0,0,0.0
7020,ESTLINK_HVDC,420,31,FI1,0,0,0.0
7100,OULU,420,31,FI1,3,2700,1350.141
8500,MALMO,420,24,SE4,6,7098,1015.998
8600,ARRIE_HVDC,420,24,SE4,0,0,0.0
8700,KARLSH_HVDC,420,24,SE4,0,0,0.0
